timestamp,container,cpu_percent,mem_usage
1765121909.8220637,vm3,73.47,4.691MiB / 512MiB
1765121909.8220637,vm2,59.61,5.055MiB / 512MiB
1765121909.8220637,vm1,52.81,6.414MiB / 512MiB
1765121909.8220637,vm4,73.15,5.594MiB / 512MiB
1765121909.8220637,vm5,99.58,3.84MiB / 512MiB
1765121912.944745,vm3,69.74,4.672MiB / 512MiB
1765121912.944745,vm2,60.49,5.035MiB / 512MiB
1765121912.944745,vm1,31.11,3.977MiB / 512MiB
1765121912.944745,vm4,80.52,8.566MiB / 512MiB
1765121912.944745,vm5,99.78,3.855MiB / 512MiB
1765121916.0889285,vm3,70.61,4.809MiB / 512MiB
1765121916.0889285,vm2,60.54,5.035MiB / 512MiB
1765121916.0889285,vm1,49.23,6.344MiB / 512MiB
1765121916.0889285,vm4,78.10,5.355MiB / 512MiB
1765121916.0889285,vm5,87.73,4.992MiB / 512MiB
1765121919.2353373,vm3,68.90,4.777MiB / 512MiB
1765121919.2353373,vm2,60.13,5.035MiB / 512MiB
1765121919.2353373,vm1,50.09,6.344MiB / 512MiB
1765121919.2353373,vm4,79.24,5.305MiB / 512MiB
1765121919.2353373,vm5,99.48,3.762MiB / 512MiB
1765121922.347829,vm3,46.52,5.574MiB / 512MiB
1765121922.347829,vm2,60.18,5.379MiB / 512MiB
1765121922.347829,vm1,49.65,6.207MiB / 512MiB
1765121922.347829,vm4,70.97,6.039MiB / 512MiB
1765121922.347829,vm5,88.26,3.891MiB / 512MiB
1765121925.4726071,vm3,69.98,4.637MiB / 512MiB
1765121925.4726071,vm2,54.56,6.016MiB / 512MiB
1765121925.4726071,vm1,46.71,6.254MiB / 512MiB
1765121925.4726071,vm4,71.14,6.543MiB / 512MiB
1765121925.4726071,vm5,100.41,3.746MiB / 512MiB
1765121928.6074934,vm3,63.70,5.965MiB / 512MiB
1765121928.6074934,vm2,58.82,5.531MiB / 512MiB
1765121928.6074934,vm1,50.58,6.25MiB / 512MiB
1765121928.6074934,vm4,80.71,5.523MiB / 512MiB
1765121928.6074934,vm5,100.08,3.754MiB / 512MiB
1765121931.6327004,vm3,68.91,4.734MiB / 512MiB
1765121931.6327004,vm2,60.38,5.043MiB / 512MiB
1765121931.6327004,vm1,50.19,6.25MiB / 512MiB
1765121931.6327004,vm4,78.79,5.523MiB / 512MiB
1765121931.6327004,vm5,88.11,4.461MiB / 512MiB
1765121934.7465854,vm3,69.01,4.711MiB / 512MiB
1765121934.7465854,vm2,60.35,5.043MiB / 512MiB
1765121934.7465854,vm1,49.37,6.227MiB / 512MiB
1765121934.7465854,vm4,79.71,5.477MiB / 512MiB
1765121934.7465854,vm5,99.59,3.785MiB / 512MiB
1765121937.8794692,vm3,34.01,2.078MiB / 512MiB
1765121937.8794692,vm2,59.92,7.715MiB / 512MiB
1765121937.8794692,vm1,49.32,6.469MiB / 512MiB
1765121937.8794692,vm4,79.93,5.492MiB / 512MiB
1765121937.8794692,vm5,100.09,3.891MiB / 512MiB
1765121940.9084291,vm3,10.74,5.434MiB / 512MiB
1765121940.9084291,vm2,59.45,7.703MiB / 512MiB
1765121940.9084291,vm1,50.53,6.211MiB / 512MiB
1765121940.9084291,vm4,61.28,2.695MiB / 512MiB
1765121940.9084291,vm5,100.04,3.84MiB / 512MiB
1765121944.0534317,vm3,69.63,7.555MiB / 512MiB
1765121944.0534317,vm2,60.07,5.043MiB / 512MiB
1765121944.0534317,vm1,41.96,3.574MiB / 512MiB
1765121944.0534317,vm4,79.33,5.812MiB / 512MiB
1765121944.0534317,vm5,43.62,996KiB / 512MiB
1765121947.1864457,vm3,68.74,7.32MiB / 512MiB
1765121947.1864457,vm2,59.56,5.043MiB / 512MiB
1765121947.1864457,vm1,49.34,6.57MiB / 512MiB
1765121947.1864457,vm4,80.11,5.594MiB / 512MiB
1765121947.1864457,vm5,0.00,1000KiB / 512MiB
1765121950.216595,vm3,67.27,4.645MiB / 512MiB
1765121950.216595,vm2,0.00,2.379MiB / 512MiB
1765121950.216595,vm1,50.56,6.215MiB / 512MiB
1765121950.216595,vm4,69.14,2.734MiB / 512MiB
1765121950.216595,vm5,53.89,1.227MiB / 512MiB
