timestamp,container,cpu_percent,mem_usage
1765122000.881925,vm3,71.76,4.664MiB / 512MiB
1765122000.881925,vm2,59.01,5.125MiB / 512MiB
1765122000.881925,vm1,49.26,6.668MiB / 512MiB
1765122000.881925,vm4,80.07,5.684MiB / 512MiB
1765122000.881925,vm5,93.22,4.047MiB / 512MiB
1765122004.0069582,vm3,69.93,4.664MiB / 512MiB
1765122004.0069582,vm2,59.17,5.078MiB / 512MiB
1765122004.0069582,vm1,50.47,6.426MiB / 512MiB
1765122004.0069582,vm4,79.82,5.684MiB / 512MiB
1765122004.0069582,vm5,99.56,3.652MiB / 512MiB
1765122007.1241994,vm3,70.08,4.664MiB / 512MiB
1765122007.1241994,vm2,60.02,5.051MiB / 512MiB
1765122007.1241994,vm1,50.30,6.426MiB / 512MiB
1765122007.1241994,vm4,80.78,6.246MiB / 512MiB
1765122007.1241994,vm5,99.87,3.629MiB / 512MiB
1765122010.1643195,vm3,70.06,4.664MiB / 512MiB
1765122010.1643195,vm2,55.82,5.664MiB / 512MiB
1765122010.1643195,vm1,49.24,6.422MiB / 512MiB
1765122010.1643195,vm4,79.58,5.293MiB / 512MiB
1765122010.1643195,vm5,99.76,3.609MiB / 512MiB
1765122013.291417,vm3,69.54,4.656MiB / 512MiB
1765122013.291417,vm2,59.52,5.07MiB / 512MiB
1765122013.291417,vm1,47.40,7.676MiB / 512MiB
1765122013.291417,vm4,79.93,5.293MiB / 512MiB
1765122013.291417,vm5,99.78,3.875MiB / 512MiB
1765122016.41754,vm3,70.35,4.66MiB / 512MiB
1765122016.41754,vm2,59.46,5.047MiB / 512MiB
1765122016.41754,vm1,49.68,6.211MiB / 512MiB
1765122016.41754,vm4,80.17,5.469MiB / 512MiB
1765122016.41754,vm5,86.34,4.398MiB / 512MiB
1765122019.5694666,vm3,68.71,4.656MiB / 512MiB
1765122019.5694666,vm2,60.30,5.047MiB / 512MiB
1765122019.5694666,vm1,49.25,6.211MiB / 512MiB
1765122019.5694666,vm4,79.52,5.316MiB / 512MiB
1765122019.5694666,vm5,99.40,3.785MiB / 512MiB
1765122022.701208,vm3,65.32,2.016MiB / 512MiB
1765122022.701208,vm2,59.35,5.047MiB / 512MiB
1765122022.701208,vm1,51.90,10.03MiB / 512MiB
1765122022.701208,vm4,80.11,5.555MiB / 512MiB
1765122022.701208,vm5,99.97,3.859MiB / 512MiB
1765122025.8298383,vm3,69.77,4.672MiB / 512MiB
1765122025.8298383,vm2,60.04,6.109MiB / 512MiB
1765122025.8298383,vm1,50.60,6.215MiB / 512MiB
1765122025.8298383,vm4,79.36,5.316MiB / 512MiB
1765122025.8298383,vm5,17.10,3.77MiB / 512MiB
1765122028.985263,vm3,17.65,4.902MiB / 512MiB
1765122028.985263,vm2,28.98,2.383MiB / 512MiB
1765122028.985263,vm1,44.45,6.746MiB / 512MiB
1765122028.985263,vm4,74.35,5.551MiB / 512MiB
1765122028.985263,vm5,102.48,7.398MiB / 512MiB
1765122032.0123618,vm3,70.41,4.785MiB / 512MiB
1765122032.0123618,vm2,59.49,5.453MiB / 512MiB
1765122032.0123618,vm1,50.88,6.234MiB / 512MiB
1765122032.0123618,vm4,82.11,5.512MiB / 512MiB
1765122032.0123618,vm5,87.74,2.648MiB / 512MiB
1765122035.1340764,vm3,69.21,4.645MiB / 512MiB
1765122035.1340764,vm2,60.31,5.09MiB / 512MiB
1765122035.1340764,vm1,50.02,6.215MiB / 512MiB
1765122035.1340764,vm4,71.04,6.551MiB / 512MiB
1765122035.1340764,vm5,94.73,1.105MiB / 512MiB
1765122038.2855031,vm3,26.16,2.012MiB / 512MiB
1765122038.2855031,vm2,44.97,2.426MiB / 512MiB
1765122038.2855031,vm1,29.89,3.559MiB / 512MiB
1765122038.2855031,vm4,63.80,2.648MiB / 512MiB
1765122038.2855031,vm5,78.44,4.16MiB / 512MiB
