timestamp,container,cpu_percent,mem_usage
1765121955.433158,vm3,64.06,4.93MiB / 512MiB
1765121955.433158,vm2,52.03,5.566MiB / 512MiB
1765121955.433158,vm1,50.59,6.223MiB / 512MiB
1765121955.433158,vm4,70.70,5.309MiB / 512MiB
1765121955.433158,vm5,87.70,3.996MiB / 512MiB
1765121958.5507915,vm3,52.81,3.754MiB / 512MiB
1765121958.5507915,vm2,57.36,5.824MiB / 512MiB
1765121958.5507915,vm1,38.33,5.055MiB / 512MiB
1765121958.5507915,vm4,71.17,5.391MiB / 512MiB
1765121958.5507915,vm5,86.78,3.848MiB / 512MiB
1765121961.5709093,vm3,70.09,4.641MiB / 512MiB
1765121961.5709093,vm2,60.50,5.059MiB / 512MiB
1765121961.5709093,vm1,49.55,6.465MiB / 512MiB
1765121961.5709093,vm4,80.01,6.078MiB / 512MiB
1765121961.5709093,vm5,99.92,4.102MiB / 512MiB
1765121964.6894643,vm3,70.51,4.637MiB / 512MiB
1765121964.6894643,vm2,59.28,5.527MiB / 512MiB
1765121964.6894643,vm1,49.69,6.348MiB / 512MiB
1765121964.6894643,vm4,79.76,6.547MiB / 512MiB
1765121964.6894643,vm5,99.82,3.637MiB / 512MiB
1765121967.8242536,vm3,70.12,4.652MiB / 512MiB
1765121967.8242536,vm2,60.32,5.035MiB / 512MiB
1765121967.8242536,vm1,50.21,6.211MiB / 512MiB
1765121967.8242536,vm4,71.46,5.562MiB / 512MiB
1765121967.8242536,vm5,100.13,3.711MiB / 512MiB
1765121970.8522527,vm3,64.00,5.141MiB / 512MiB
1765121970.8522527,vm2,60.19,5.043MiB / 512MiB
1765121970.8522527,vm1,49.05,6.223MiB / 512MiB
1765121970.8522527,vm4,78.58,2.746MiB / 512MiB
1765121970.8522527,vm5,98.96,3.867MiB / 512MiB
1765121973.9774,vm3,69.89,4.805MiB / 512MiB
1765121973.9774,vm2,60.14,5.043MiB / 512MiB
1765121973.9774,vm1,49.09,6.223MiB / 512MiB
1765121973.9774,vm4,79.90,5.324MiB / 512MiB
1765121973.9774,vm5,99.51,4.289MiB / 512MiB
1765121977.1058426,vm3,62.38,4.688MiB / 512MiB
1765121977.1058426,vm2,59.01,5.047MiB / 512MiB
1765121977.1058426,vm1,50.59,6.223MiB / 512MiB
1765121977.1058426,vm4,79.35,5.297MiB / 512MiB
1765121977.1058426,vm5,99.79,4.004MiB / 512MiB
1765121980.1303723,vm3,69.29,4.645MiB / 512MiB
1765121980.1303723,vm2,60.21,5.047MiB / 512MiB
1765121980.1303723,vm1,50.19,6.629MiB / 512MiB
1765121980.1303723,vm4,78.73,5.477MiB / 512MiB
1765121980.1303723,vm5,41.81,4.902MiB / 512MiB
1765121983.2519202,vm3,69.69,4.645MiB / 512MiB
1765121983.2519202,vm2,60.25,5.047MiB / 512MiB
1765121983.2519202,vm1,49.35,6.625MiB / 512MiB
1765121983.2519202,vm4,79.52,5.453MiB / 512MiB
1765121983.2519202,vm5,99.80,3.781MiB / 512MiB
1765121986.3888483,vm3,54.35,6.086MiB / 512MiB
1765121986.3888483,vm2,59.21,5.07MiB / 512MiB
1765121986.3888483,vm1,49.79,6.211MiB / 512MiB
1765121986.3888483,vm4,10.79,2.82MiB / 512MiB
1765121986.3888483,vm5,100.27,6.359MiB / 512MiB
1765121989.5435808,vm3,69.98,4.641MiB / 512MiB
1765121989.5435808,vm2,59.75,5.07MiB / 512MiB
1765121989.5435808,vm1,42.38,3.578MiB / 512MiB
1765121989.5435808,vm4,79.19,5.492MiB / 512MiB
1765121989.5435808,vm5,100.21,3.699MiB / 512MiB
1765121992.668355,vm3,69.52,4.641MiB / 512MiB
1765121992.668355,vm2,60.08,5.051MiB / 512MiB
1765121992.668355,vm1,0.00,3.578MiB / 512MiB
1765121992.668355,vm4,79.69,5.492MiB / 512MiB
1765121992.668355,vm5,99.89,3.676MiB / 512MiB
1765121995.8352041,vm3,0.00,1.984MiB / 512MiB
1765121995.8352041,vm2,0.00,2.41MiB / 512MiB
1765121995.8352041,vm1,0.00,3.578MiB / 512MiB
1765121995.8352041,vm4,0.00,2.891MiB / 512MiB
1765121995.8352041,vm5,0.00,996KiB / 512MiB
