timestamp,container,cpu_percent,mem_usage
1765707371.1234744,vm3,68.45,900KiB / 512MiB
1765707371.1234744,vm2,52.76,4.117MiB / 512MiB
1765707371.1234744,vm1,50.16,5.703MiB / 512MiB
1765707371.1234744,vm4,71.35,3.973MiB / 512MiB
1765707371.1234744,vm5,95.01,4.219MiB / 512MiB
1765707374.260773,vm3,69.93,3.641MiB / 512MiB
1765707374.260773,vm2,59.79,4.289MiB / 512MiB
1765707374.260773,vm1,50.57,5.781MiB / 512MiB
1765707374.260773,vm4,78.98,4.078MiB / 512MiB
1765707374.260773,vm5,99.27,3.957MiB / 512MiB
1765707377.3762136,vm3,63.55,4.086MiB / 512MiB
1765707377.3762136,vm2,60.42,4.309MiB / 512MiB
1765707377.3762136,vm1,44.69,3.156MiB / 512MiB
1765707377.3762136,vm4,79.48,4.043MiB / 512MiB
1765707377.3762136,vm5,99.67,5.098MiB / 512MiB
1765707380.4997516,vm3,69.63,3.629MiB / 512MiB
1765707380.4997516,vm2,60.15,4.059MiB / 512MiB
1765707380.4997516,vm1,50.20,5.891MiB / 512MiB
1765707380.4997516,vm4,80.18,4.031MiB / 512MiB
1765707380.4997516,vm5,99.75,4.004MiB / 512MiB
1765707383.6460567,vm3,69.75,3.977MiB / 512MiB
1765707383.6460567,vm2,59.22,4.219MiB / 512MiB
1765707383.6460567,vm1,49.64,5.891MiB / 512MiB
1765707383.6460567,vm4,20.03,5.277MiB / 512MiB
1765707383.6460567,vm5,99.54,3.992MiB / 512MiB
1765707386.763808,vm3,73.70,6.668MiB / 512MiB
1765707386.763808,vm2,26.88,1.395MiB / 512MiB
1765707386.763808,vm1,14.71,3.27MiB / 512MiB
1765707386.763808,vm4,78.96,4.195MiB / 512MiB
1765707386.763808,vm5,82.64,4.637MiB / 512MiB
1765707389.8693633,vm3,69.74,3.641MiB / 512MiB
1765707389.8693633,vm2,60.27,4.059MiB / 512MiB
1765707389.8693633,vm1,48.44,5.938MiB / 512MiB
1765707389.8693633,vm4,73.23,1.379MiB / 512MiB
1765707389.8693633,vm5,70.68,5.035MiB / 512MiB
1765707392.8903646,vm3,65.24,4.398MiB / 512MiB
1765707392.8903646,vm2,59.37,4.055MiB / 512MiB
1765707392.8903646,vm1,50.13,6.402MiB / 512MiB
1765707392.8903646,vm4,80.19,4.059MiB / 512MiB
1765707392.8903646,vm5,99.62,4.211MiB / 512MiB
1765707396.0011165,vm3,69.42,3.836MiB / 512MiB
1765707396.0011165,vm2,59.09,4.062MiB / 512MiB
1765707396.0011165,vm1,44.84,6.41MiB / 512MiB
1765707396.0011165,vm4,79.73,4.074MiB / 512MiB
1765707396.0011165,vm5,55.69,5.012MiB / 512MiB
1765707399.1000354,vm3,69.44,3.645MiB / 512MiB
1765707399.1000354,vm2,59.47,4.062MiB / 512MiB
1765707399.1000354,vm1,49.63,5.934MiB / 512MiB
1765707399.1000354,vm4,79.94,4.117MiB / 512MiB
1765707399.1000354,vm5,83.21,5.137MiB / 512MiB
1765707402.124712,vm3,63.77,4.77MiB / 512MiB
1765707402.124712,vm2,42.12,4.219MiB / 512MiB
1765707402.124712,vm1,49.48,5.953MiB / 512MiB
1765707402.124712,vm4,80.16,4.043MiB / 512MiB
1765707402.124712,vm5,99.56,4.418MiB / 512MiB
1765707405.2203746,vm3,69.52,3.883MiB / 512MiB
1765707405.2203746,vm2,59.53,4.082MiB / 512MiB
1765707405.2203746,vm1,49.55,6.207MiB / 512MiB
1765707405.2203746,vm4,80.24,4.293MiB / 512MiB
1765707405.2203746,vm5,99.31,4.227MiB / 512MiB
1765707408.3159566,vm3,67.87,1.258MiB / 512MiB
1765707408.3159566,vm2,56.84,1.406MiB / 512MiB
1765707408.3159566,vm1,49.65,5.938MiB / 512MiB
1765707408.3159566,vm4,75.64,4.094MiB / 512MiB
1765707408.3159566,vm5,92.17,4.082MiB / 512MiB
1765707411.3414671,vm3,70.01,3.777MiB / 512MiB
1765707411.3414671,vm2,57.08,5.066MiB / 512MiB
1765707411.3414671,vm1,49.47,5.938MiB / 512MiB
1765707411.3414671,vm4,72.84,1.398MiB / 512MiB
1765707411.3414671,vm5,99.19,4.105MiB / 512MiB
1765707414.4308796,vm3,69.47,3.777MiB / 512MiB
1765707414.4308796,vm2,59.60,4.074MiB / 512MiB
1765707414.4308796,vm1,15.98,6.406MiB / 512MiB
1765707414.4308796,vm4,79.55,4.07MiB / 512MiB
