timestamp,container,cpu_percent,mem_usage
1765707560.101217,vm3,65.29,3.887MiB / 512MiB
1765707560.101217,vm2,46.25,4.996MiB / 512MiB
1765707560.101217,vm1,48.06,5.941MiB / 512MiB
1765707560.101217,vm4,70.77,4.246MiB / 512MiB
1765707560.101217,vm5,85.96,4.219MiB / 512MiB
1765707563.1247864,vm3,69.44,1.262MiB / 512MiB
1765707563.1247864,vm2,56.86,4.887MiB / 512MiB
1765707563.1247864,vm1,49.51,5.934MiB / 512MiB
1765707563.1247864,vm4,72.99,4.523MiB / 512MiB
1765707563.1247864,vm5,88.50,4.273MiB / 512MiB
1765707566.2067142,vm3,65.47,3.906MiB / 512MiB
1765707566.2067142,vm2,56.23,4.051MiB / 512MiB
1765707566.2067142,vm1,52.18,5.934MiB / 512MiB
1765707566.2067142,vm4,73.94,4.062MiB / 512MiB
1765707566.2067142,vm5,89.92,4.445MiB / 512MiB
1765707569.3044572,vm3,69.33,3.645MiB / 512MiB
1765707569.3044572,vm2,59.32,4.059MiB / 512MiB
1765707569.3044572,vm1,49.20,5.926MiB / 512MiB
1765707569.3044572,vm4,71.84,1.48MiB / 512MiB
1765707569.3044572,vm5,96.42,4.309MiB / 512MiB
1765707572.3276358,vm3,69.36,3.645MiB / 512MiB
1765707572.3276358,vm2,60.27,4.078MiB / 512MiB
1765707572.3276358,vm1,49.56,5.98MiB / 512MiB
1765707572.3276358,vm4,74.98,4.688MiB / 512MiB
1765707572.3276358,vm5,99.54,4.547MiB / 512MiB
1765707575.4225147,vm3,68.08,3.875MiB / 512MiB
1765707575.4225147,vm2,59.99,4.301MiB / 512MiB
1765707575.4225147,vm1,43.01,6.816MiB / 512MiB
1765707575.4225147,vm4,79.92,4.047MiB / 512MiB
1765707575.4225147,vm5,99.43,4.008MiB / 512MiB
1765707578.5166068,vm3,69.53,3.871MiB / 512MiB
1765707578.5166068,vm2,59.44,4.305MiB / 512MiB
1765707578.5166068,vm1,49.43,5.977MiB / 512MiB
1765707578.5166068,vm4,79.87,4.766MiB / 512MiB
1765707578.5166068,vm5,99.74,4.164MiB / 512MiB
1765707581.540872,vm3,69.65,4.039MiB / 512MiB
1765707581.540872,vm2,60.02,4.055MiB / 512MiB
1765707581.540872,vm1,49.82,5.977MiB / 512MiB
1765707581.540872,vm4,78.81,4.043MiB / 512MiB
1765707581.540872,vm5,99.62,4.043MiB / 512MiB
1765707584.641151,vm3,68.91,3.664MiB / 512MiB
1765707584.641151,vm2,60.10,4.055MiB / 512MiB
1765707584.641151,vm1,49.60,5.953MiB / 512MiB
1765707584.641151,vm4,79.44,4.18MiB / 512MiB
1765707584.641151,vm5,99.62,4.188MiB / 512MiB
1765707587.6581986,vm3,69.98,3.918MiB / 512MiB
1765707587.6581986,vm2,59.81,4.055MiB / 512MiB
1765707587.6581986,vm1,46.71,7.113MiB / 512MiB
1765707587.6581986,vm4,73.88,4.457MiB / 512MiB
1765707587.6581986,vm5,99.13,4.422MiB / 512MiB
1765707590.7586222,vm3,65.89,4.609MiB / 512MiB
1765707590.7586222,vm2,60.27,4.316MiB / 512MiB
1765707590.7586222,vm1,50.42,6.207MiB / 512MiB
