timestamp,container,cpu_percent,mem_usage
1765707437.0788026,vm3,61.73,3.82MiB / 512MiB
1765707437.0788026,vm2,53.94,4.047MiB / 512MiB
1765707437.0788026,vm1,44.65,6.395MiB / 512MiB
1765707437.0788026,vm4,75.67,4.559MiB / 512MiB
1765707437.0788026,vm5,76.92,4.676MiB / 512MiB
1765707440.1705093,vm3,63.88,3.77MiB / 512MiB
1765707440.1705093,vm2,56.86,4.199MiB / 512MiB
1765707440.1705093,vm1,42.60,5.926MiB / 512MiB
1765707440.1705093,vm4,72.20,4.77MiB / 512MiB
1765707440.1705093,vm5,88.24,4.137MiB / 512MiB
1765707443.191645,vm3,66.94,3.883MiB / 512MiB
1765707443.191645,vm2,59.16,4.055MiB / 512MiB
1765707443.191645,vm1,49.46,6.918MiB / 512MiB
1765707443.191645,vm4,75.68,4.062MiB / 512MiB
1765707443.191645,vm5,85.63,4.73MiB / 512MiB
1765707446.2138145,vm3,69.59,3.633MiB / 512MiB
1765707446.2138145,vm2,59.59,4.07MiB / 512MiB
1765707446.2138145,vm1,48.62,5.941MiB / 512MiB
1765707446.2138145,vm4,72.39,4.094MiB / 512MiB
1765707446.2138145,vm5,89.65,4.512MiB / 512MiB
1765707449.308345,vm3,62.69,4.348MiB / 512MiB
1765707449.308345,vm2,59.07,4.281MiB / 512MiB
1765707449.308345,vm1,48.31,6.18MiB / 512MiB
1765707449.308345,vm4,79.61,4.035MiB / 512MiB
1765707449.308345,vm5,88.02,4.332MiB / 512MiB
1765707452.3315072,vm3,65.65,3.988MiB / 512MiB
1765707452.3315072,vm2,60.24,4.066MiB / 512MiB
1765707452.3315072,vm1,49.49,5.934MiB / 512MiB
1765707452.3315072,vm4,79.58,4.258MiB / 512MiB
1765707452.3315072,vm5,90.24,5.105MiB / 512MiB
1765707455.4267776,vm3,66.70,3.934MiB / 512MiB
1765707455.4267776,vm2,54.60,4.242MiB / 512MiB
1765707455.4267776,vm1,49.27,5.934MiB / 512MiB
1765707455.4267776,vm4,79.65,4.035MiB / 512MiB
1765707455.4267776,vm5,88.33,5.25MiB / 512MiB
1765707458.5246575,vm3,45.36,1000KiB / 512MiB
1765707458.5246575,vm2,60.08,7.68MiB / 512MiB
1765707458.5246575,vm1,49.49,5.965MiB / 512MiB
1765707458.5246575,vm4,80.23,4.043MiB / 512MiB
1765707458.5246575,vm5,88.24,4.309MiB / 512MiB
1765707461.5418208,vm3,70.26,3.641MiB / 512MiB
1765707461.5418208,vm2,59.83,4.066MiB / 512MiB
1765707461.5418208,vm1,49.38,5.938MiB / 512MiB
1765707461.5418208,vm4,79.21,4.176MiB / 512MiB
1765707461.5418208,vm5,99.60,4.566MiB / 512MiB
1765707464.6306927,vm3,69.03,3.629MiB / 512MiB
1765707464.6306927,vm2,60.38,4.375MiB / 512MiB
1765707464.6306927,vm1,0.02,3.52MiB / 512MiB
1765707464.6306927,vm4,79.75,4.031MiB / 512MiB
1765707464.6306927,vm5,92.16,1.383MiB / 512MiB
1765707467.6555707,vm3,70.06,3.629MiB / 512MiB
1765707467.6555707,vm2,60.43,4.133MiB / 512MiB
1765707467.6555707,vm1,49.78,6.316MiB / 512MiB
1765707467.6555707,vm4,79.48,4.031MiB / 512MiB
1765707467.6555707,vm5,90.10,5.164MiB / 512MiB
1765707470.7562063,vm3,69.94,3.73MiB / 512MiB
1765707470.7562063,vm2,57.59,4.113MiB / 512MiB
1765707470.7562063,vm1,49.97,6.109MiB / 512MiB
1765707470.7562063,vm4,78.90,4.301MiB / 512MiB
1765707470.7562063,vm5,99.84,4.211MiB / 512MiB
1765707473.8495653,vm3,69.89,3.641MiB / 512MiB
1765707473.8495653,vm2,60.32,4.098MiB / 512MiB
1765707473.8495653,vm1,50.32,6.32MiB / 512MiB
1765707473.8495653,vm4,40.94,5.195MiB / 512MiB
1765707473.8495653,vm5,99.38,4.367MiB / 512MiB
1765707476.8729994,vm3,69.96,3.891MiB / 512MiB
1765707476.8729994,vm2,57.67,5.043MiB / 512MiB
1765707476.8729994,vm1,49.75,6.07MiB / 512MiB
1765707476.8729994,vm4,79.96,4.039MiB / 512MiB
1765707476.8729994,vm5,99.73,4.242MiB / 512MiB
1765707479.9685068,vm3,70.01,3.641MiB / 512MiB
1765707479.9685068,vm2,60.01,4.09MiB / 512MiB
1765707479.9685068,vm1,50.02,6.07MiB / 512MiB
1765707479.9685068,vm4,80.10,4.328MiB / 512MiB
1765707479.9685068,vm5,78.36,5.039MiB / 512MiB
1765707482.9936779,vm3,69.32,3.773MiB / 512MiB
1765707482.9936779,vm2,59.36,4.07MiB / 512MiB
1765707482.9936779,vm1,49.98,6.164MiB / 512MiB
1765707482.9936779,vm4,79.72,4.301MiB / 512MiB
1765707482.9936779,vm5,88.37,4.945MiB / 512MiB
1765707486.1124177,vm3,69.30,3.668MiB / 512MiB
1765707486.1124177,vm2,59.53,4.598MiB / 512MiB
1765707486.1124177,vm1,49.77,5.938MiB / 512MiB
1765707486.1124177,vm4,79.82,4.039MiB / 512MiB
1765707486.1124177,vm5,99.71,4.203MiB / 512MiB
1765707489.2093356,vm3,69.22,3.672MiB / 512MiB
1765707489.2093356,vm2,59.62,4.062MiB / 512MiB
1765707489.2093356,vm1,5.12,3.273MiB / 512MiB
1765707489.2093356,vm4,79.69,4.039MiB / 512MiB
1765707489.2093356,vm5,99.72,4.566MiB / 512MiB
1765707492.238986,vm3,70.14,3.645MiB / 512MiB
1765707492.238986,vm2,60.02,4.062MiB / 512MiB
1765707492.238986,vm1,0.00,3.273MiB / 512MiB
1765707492.238986,vm4,0.00,1.41MiB / 512MiB
1765707492.238986,vm5,43.17,1.402MiB / 512MiB
1765707495.362978,vm3,32.07,1.004MiB / 512MiB
1765707495.362978,vm2,0.00,1.398MiB / 512MiB
1765707495.362978,vm1,0.00,3.273MiB / 512MiB
1765707495.362978,vm4,0.00,1.379MiB / 512MiB
1765707495.362978,vm5,0.00,1.328MiB / 512MiB
