timestamp,container,cpu_percent,mem_usage
1765708806.1904097,vm3,69.15,3.676MiB / 512MiB
1765708806.1904097,vm2,55.82,4.055MiB / 512MiB
1765708806.1904097,vm1,49.28,5.934MiB / 512MiB
1765708806.1904097,vm4,79.58,4.078MiB / 512MiB
1765708806.1904097,vm5,88.73,4.176MiB / 512MiB
1765708809.2051845,vm3,69.64,3.676MiB / 512MiB
1765708809.2051845,vm2,59.01,4.055MiB / 512MiB
1765708809.2051845,vm1,49.35,5.934MiB / 512MiB
1765708809.2051845,vm4,79.40,4.035MiB / 512MiB
1765708809.2051845,vm5,87.81,4.965MiB / 512MiB
1765708812.2284453,vm3,70.08,3.922MiB / 512MiB
1765708812.2284453,vm2,53.86,2.438MiB / 512MiB
1765708812.2284453,vm1,49.50,5.934MiB / 512MiB
1765708812.2284453,vm4,79.30,4.297MiB / 512MiB
1765708812.2284453,vm5,99.62,3.996MiB / 512MiB
1765708815.3262587,vm3,70.13,3.672MiB / 512MiB
1765708815.3262587,vm2,59.42,4.086MiB / 512MiB
1765708815.3262587,vm1,49.54,5.957MiB / 512MiB
1765708815.3262587,vm4,79.04,4.051MiB / 512MiB
1765708815.3262587,vm5,99.72,4.137MiB / 512MiB
1765708818.3533504,vm3,65.15,3.797MiB / 512MiB
1765708818.3533504,vm2,60.25,4.062MiB / 512MiB
1765708818.3533504,vm1,50.25,5.945MiB / 512MiB
1765708818.3533504,vm4,79.78,4.066MiB / 512MiB
1765708818.3533504,vm5,92.85,1.371MiB / 512MiB
1765708821.4468849,vm3,69.88,3.703MiB / 512MiB
1765708821.4468849,vm2,59.78,4.309MiB / 512MiB
1765708821.4468849,vm1,50.30,5.945MiB / 512MiB
1765708821.4468849,vm4,79.81,4.066MiB / 512MiB
1765708821.4468849,vm5,99.37,3.977MiB / 512MiB
1765708824.5380082,vm3,69.91,3.883MiB / 512MiB
1765708824.5380082,vm2,60.01,4.055MiB / 512MiB
1765708824.5380082,vm1,50.14,6.074MiB / 512MiB
1765708824.5380082,vm4,78.96,4.203MiB / 512MiB
1765708824.5380082,vm5,90.18,4.129MiB / 512MiB
1765708827.5599194,vm3,70.42,3.684MiB / 512MiB
1765708827.5599194,vm2,38.82,4.91MiB / 512MiB
1765708827.5599194,vm1,50.19,5.93MiB / 512MiB
1765708827.5599194,vm4,73.71,4.051MiB / 512MiB
1765708827.5599194,vm5,99.66,4.168MiB / 512MiB
1765708830.6572342,vm3,67.85,3.695MiB / 512MiB
1765708830.6572342,vm2,60.19,4.168MiB / 512MiB
1765708830.6572342,vm1,50.62,5.93MiB / 512MiB
1765708830.6572342,vm4,79.45,4.051MiB / 512MiB
1765708830.6572342,vm5,99.40,4.168MiB / 512MiB
1765708833.6776788,vm3,69.38,3.672MiB / 512MiB
1765708833.6776788,vm2,59.42,4.164MiB / 512MiB
1765708833.6776788,vm1,49.89,5.934MiB / 512MiB
1765708833.6776788,vm4,80.18,4.785MiB / 512MiB
1765708833.6776788,vm5,99.69,4.285MiB / 512MiB
1765708836.7793963,vm3,69.98,4.062MiB / 512MiB
1765708836.7793963,vm2,59.23,4.059MiB / 512MiB
1765708836.7793963,vm1,49.66,5.93MiB / 512MiB
1765708836.7793963,vm4,79.62,4.035MiB / 512MiB
1765708836.7793963,vm5,99.99,4.473MiB / 512MiB
1765708839.8747807,vm3,69.73,3.68MiB / 512MiB
1765708839.8747807,vm2,59.32,4.059MiB / 512MiB
1765708839.8747807,vm1,45.41,6.688MiB / 512MiB
1765708839.8747807,vm4,80.16,4.043MiB / 512MiB
1765708839.8747807,vm5,87.31,4.508MiB / 512MiB
1765708842.8983357,vm3,69.38,3.832MiB / 512MiB
1765708842.8983357,vm2,59.17,4.059MiB / 512MiB
1765708842.8983357,vm1,50.04,5.938MiB / 512MiB
1765708842.8983357,vm4,76.57,4.855MiB / 512MiB
1765708842.8983357,vm5,95.73,1.363MiB / 512MiB
1765708846.0070536,vm3,51.39,1.016MiB / 512MiB
1765708846.0070536,vm2,50.74,1.414MiB / 512MiB
1765708846.0070536,vm1,49.32,5.938MiB / 512MiB
1765708846.0070536,vm4,81.51,7.945MiB / 512MiB
1765708846.0070536,vm5,99.69,4.234MiB / 512MiB
1765708849.0265322,vm3,69.82,3.688MiB / 512MiB
1765708849.0265322,vm2,60.19,4.066MiB / 512MiB
1765708849.0265322,vm1,49.49,6.562MiB / 512MiB
1765708849.0265322,vm4,79.34,4.09MiB / 512MiB
1765708849.0265322,vm5,99.82,4MiB / 512MiB
1765708852.141513,vm3,63.74,4.027MiB / 512MiB
1765708852.141513,vm2,60.46,4.055MiB / 512MiB
1765708852.141513,vm1,49.50,5.938MiB / 512MiB
1765708852.141513,vm4,78.63,4.035MiB / 512MiB
1765708852.141513,vm5,89.99,4.141MiB / 512MiB
1765708855.23612,vm3,70.09,3.684MiB / 512MiB
1765708855.23612,vm2,60.31,4.062MiB / 512MiB
